pridate,rrp,countryid,partnum
2020-01-12,567.90,1,nm78o
2019-09-12,789.90,2,nm78o
2019-12-30,908.90,3,nm78o
2019-08-15,785.89,4,nm78o
2018-09-28,456.89,7,nm78o
2017-11-15,789.90,8,nm78o
2018-09-30,456.89,9,nm78o
2019-03-12,678.9,2,b77ew43
2018-09-14,999.90,4,b77ew43
2019-11-23,898.09,5,b77ew43
2020-01-09,768.90,6,b77ew43
2020-02-23,567.9,8,b77ew43
2017-11-23,563.12,9,b77ew43
2018-09-23,456.12,10,b77ew43
2019-02-24,899.99,1,ythik67
2020-12-09,567.12,2,ythik67
2017-09-12,789.90,3,ythik67
2018-09-23,567.12,4,ythik67
2018-08-12,770.90,5,ythik67
2019-09-12,1000,7,ythik67
2017-09-23,290.09,9,ythik67
2018-09-07,2000,10,ythik67
2019-09-23,760.90,1,qa34t
2017-09-23,567.90,2,qa34t
2020-01-09,456.90,3,qa34t
2019-01-24,1000.90,4,qa34t
2018-09-15,678.90,5,qa34t
2020-02-03,678.89,6,qa34t
2019-09-11,567.89,7,qa34t
2020-11-12,457.67,1,tynh56
2019-11-04,1000.21,2,bg56yui
2019-01-24,2500.21,3,mkdsh8
2018-07-24,235436.21,4,h657i
2017-08-01,235436.21,5,sa43yt
2018-11-18,47737.21,6,nm78o
2019-11-18,37547.21,7,b77ew43
2019-11-18,37547.21,8,ythik67
2019-06-01,6686.9,9,qa34t
2019-09-11,600,10,fhgj675
2020-05-06,356,1,mkdsh8
2019-11-17,890.23,4,fhgj675
2018-09-18,456.5,8,mkdsh8
2019-09-12,354.87,4,tynh56
2020-03-02,465.7,5,nm78o
2019-11-12,353.65,6,ythik67
2018-09-12,354.678,2,sa43yt
2020-01-12,234.786,10,nm78o
2020-09-12,3543.57,8,qa34t
2018-02-12,900.66,9,bg56yui
2020-02-12,475.57,3,tynh56
2017-12-12,356.86,6,fhgj675
2016-04-24,678.432,7,sa43yt
2018-10-12,900.67,1,b77ew43
2018-11-30,678.99,5,mkdsh8
2019-12-15,246.756,8,fhgj675
2020-01-30,456.9,6,h657i
2020-01-23,245.78,3,b77ew43
2019-08-19,567.89,4,sa43yt
2019-05-21,899.67,10,tynh56
2018-04-13,456.90,2,tynh56
2019-12-18,677.89,5,tynh56
2019-07-06,567.23,6,tynh56
2019-11-23,234.67,7,tynh56
2020-09-17,678.90,8,tynh56
2019-12-12,678.9,9,tynh56
2017-11-13,234.67,1,bg56yui
2019-09-07,678.90,3,bg56yui
2020-01-13,907.8,4,bg56yui
2016-11-12,567.90,5,bg56yui
2020-12-12,345.78,6,bg56yui
2020-07-09,345.89,7,bg56yui
2019-11-23,890.90,8,bg56yui
2018-09-14,678.90,10,bg56yui
2019-11-22,785.90,2,mkdsh8
2019-08-09,456.99,4,mkdsh8
2017-09-12,678.90,6,mkdsh8
2018-09-12,950.99,7,mkdsh8
2018-11-23,456.78,9,mkdsh8
2019-12-22,456.90,10,mkdsh8
2020-01-11,456.89,10,qa34t
2019-09-23,567.90,1,fhgj675
2019-08-19,899.90,2,fhgj675
2020-01-18,678.90,3,fhgj675
2017-09-19,789.9,5,fhgj675
2018-09-13,789.99,7,fhgj675
2020-09-18,890.99,9,fhgj675
2019-10-12,356.90,1,h657i
2018-09-12,1000.99,2,h657i
2018-01-10,345.89,3,h657i
2019-09-08,567.90,5,h657i
2019-07-19,789.99,7,h657i
2020-01-12,801.15,8,h657i
2018-05-23,234.56,9,h657i
2018-06-24,456.8,10,h657i
2016-11-12,789.90,1,sa43yt
2017-09-12,678.90,3,sa43yt
2019-11-12,567.90,6,sa43yt
2018-09-27,489.90,8,sa43yt
2019-01-31,453.12,9,sa43yt
2019-03-22,789.99,10,sa43yt
